Cluster 1:
(927, 671)
(761, 512)
(581, 506)
(852, 421)
(741, 660)
(878, 650)
(966, 458)
(645, 491)
(713, 490)
(943, 517)
(885, 518)
(542, 437)
(714, 618)
(689, 673)
(777, 633)
(894, 480)
(743, 414)
(659, 620)
(679, 723)
(698, 489)
(771, 486)
(942, 450)
(904, 539)
(874, 408)
(991, 582)
(616, 415)
(702, 406)
(961, 516)
(835, 657)
(624, 655)
(841, 400)
(582, 429)
(631, 653)
(907, 498)
(666, 596)
(971, 505)
(592, 562)
(839, 681)
(935, 601)
(949, 571)
(636, 573)
(660, 402)
(803, 665)
(574, 579)
(690, 446)
(680, 451)
(872, 513)
(670, 501)
(572, 443)
(843, 509)
(855, 616)
(576, 558)
(853, 577)
(730, 384)
(721, 550)
(851, 524)
(632, 637)
(729, 453)
(985, 508)
(931, 424)
(661, 578)
(709, 576)
(806, 522)
(706, 386)
(884, 531)
(812, 624)
(945, 557)
(967, 431)
(768, 676)
(994, 481)
(598, 487)
(818, 463)
(831, 584)
(658, 465)
(819, 592)
(779, 672)
(847, 595)
(750, 670)
(814, 503)

Cluster 2:
(308, 325)
(394, 389)
(287, 326)
(147, 294)
(66, 467)
(12, 560)
(414, 369)
(282, 589)
(72, 468)
(207, 370)
(17, 306)
(183, 546)
(352, 268)
(234, 324)
(296, 426)
(228, 288)
(178, 495)
(318, 280)
(305, 403)
(108, 440)
(115, 430)
(213, 381)
(148, 561)
(281, 374)
(388, 340)
(294, 368)
(214, 407)
(107, 555)
(35, 447)
(198, 528)
(119, 507)
(210, 409)
(211, 320)
(356, 281)
(368, 519)
(342, 296)
(215, 459)
(289, 318)
(201, 527)
(10, 477)
(126, 305)
(325, 422)
(297, 554)
(163, 397)
(255, 547)
(82, 354)
(400, 493)
(209, 536)
(177, 496)
(68, 535)
(150, 479)
(99, 551)
(38, 521)
(188, 379)
(456, 425)
(378, 435)
(76, 328)
(167, 364)

Cluster 3:
(89, 836)
(146, 952)
(225, 735)
(75, 874)
(272, 824)
(62, 617)
(251, 680)
(238, 719)
(233, 847)
(164, 791)
(194, 956)
(105, 901)
(116, 975)
(90, 783)
(28, 588)
(195, 880)
(81, 801)
(264, 691)
(114, 706)
(229, 663)
(271, 920)
(32, 649)
(185, 724)
(133, 703)
(27, 711)
(160, 872)
(20, 603)
(11, 779)
(169, 900)
(96, 928)
(230, 981)
(123, 754)
(254, 894)
(29, 640)
(48, 677)
(33, 627)
(23, 873)
(161, 923)
(232, 892)
(170, 774)
(84, 960)
(142, 623)
(171, 914)
(1, 989)
(278, 729)
(237, 887)
(86, 854)
(113, 842)
(153, 949)
(266, 743)
(242, 647)
(5, 685)
(129, 826)
(265, 793)
(246, 939)
(205, 759)
(37, 951)
(275, 728)
(284, 804)

Cluster 4:
(420, 109)
(488, 25)
(408, 68)
(567, 159)
(681, 279)
(626, 85)
(436, 113)
(440, 47)
(556, 32)
(685, 270)
(484, 120)
(668, 116)
(403, 308)
(664, 98)
(474, 311)
(654, 265)
(465, 367)
(596, 22)
(700, 63)
(518, 108)
(604, 316)
(640, 178)
(578, 165)
(439, 26)
(516, 301)
(642, 298)
(637, 287)
(432, 362)
(442, 117)
(656, 91)
(498, 45)
(569, 72)
(559, 202)
(613, 337)
(384, 153)
(561, 90)
(509, 427)
(459, 361)
(479, 241)
(452, 249)
(591, 31)
(517, 18)
(536, 78)
(643, 212)
(652, 344)
(601, 302)
(453, 74)
(508, 228)
(564, 121)
(628, 27)
(595, 152)
(570, 200)
(451, 88)
(510, 29)
(390, 1)
(612, 69)
(568, 222)
(553, 358)
(650, 266)
(662, 160)
(477, 194)
(489, 218)
(562, 201)
(490, 363)
(413, 283)
(683, 289)
(641, 83)
(533, 382)

Cluster 5:
(482, 658)
(443, 567)
(340, 933)
(514, 696)
(476, 843)
(545, 598)
(419, 710)
(571, 784)
(279, 648)
(526, 815)
(599, 632)
(351, 611)
(336, 747)
(470, 839)
(497, 809)
(424, 732)
(524, 714)
(602, 669)
(345, 818)
(597, 903)
(364, 862)
(463, 998)
(496, 514)
(312, 830)
(505, 549)
(337, 829)
(539, 667)
(333, 721)
(525, 652)
(454, 716)
(417, 978)
(304, 687)
(421, 993)
(380, 610)
(606, 705)
(363, 666)
(460, 848)
(355, 781)
(391, 808)
(313, 713)
(521, 898)
(520, 656)
(468, 559)
(480, 767)
(461, 581)
(523, 985)
(469, 645)
(335, 807)
(331, 947)
(499, 983)
(306, 662)
(346, 739)
(396, 613)
(653, 772)
(329, 622)
(299, 725)
(512, 948)
(563, 864)
(385, 885)
(513, 520)
(404, 794)
(483, 810)

Cluster 6:
(802, 771)
(987, 957)
(982, 922)
(959, 991)
(844, 919)
(870, 986)
(992, 709)
(790, 1000)
(944, 822)
(882, 946)
(896, 860)
(901, 692)
(780, 825)
(740, 970)
(789, 992)
(978, 851)
(827, 741)
(742, 941)
(976, 803)
(755, 841)
(749, 799)
(717, 875)
(677, 958)
(849, 813)
(695, 746)
(795, 833)
(701, 979)
(929, 950)
(879, 886)
(975, 708)
(728, 988)
(699, 917)
(952, 921)
(923, 682)
(786, 857)
(915, 790)
(704, 925)
(829, 963)
(988, 837)
(862, 785)
(924, 895)
(647, 906)
(866, 697)
(817, 871)
(811, 940)
(633, 984)
(993, 782)
(665, 980)
(972, 926)
(911, 792)
(968, 994)
(999, 884)
(758, 974)
(995, 761)
(734, 764)
(623, 965)
(983, 883)
(930, 867)
(766, 819)
(905, 731)
(973, 863)

Cluster 7:
(977, 349)
(808, 264)
(921, 230)
(965, 309)
(799, 185)
(804, 177)
(754, 292)
(774, 67)
(864, 146)
(724, 126)
(997, 347)
(887, 242)
(1000, 220)
(848, 376)
(868, 336)
(934, 299)
(778, 129)
(752, 190)
(902, 232)
(984, 46)
(833, 12)
(865, 351)
(746, 70)
(726, 56)
(842, 211)
(784, 248)
(828, 343)
(810, 234)
(891, 24)
(909, 111)
(800, 28)
(825, 372)
(791, 80)
(815, 231)
(857, 210)
(722, 114)
(703, 157)
(914, 94)
(912, 37)
(906, 246)
(719, 173)
(826, 342)
(744, 174)
(788, 360)
(908, 331)
(715, 65)
(782, 59)
(854, 204)
(697, 278)
(920, 123)
(990, 290)
(821, 53)
(938, 359)
(928, 224)
(787, 355)
(834, 243)
(954, 385)

Cluster 8:
(261, 267)
(243, 17)
(100, 97)
(256, 175)
(18, 130)
(158, 2)
(343, 3)
(175, 145)
(262, 154)
(179, 122)
(125, 99)
(137, 48)
(208, 167)
(2, 144)
(24, 103)
(212, 76)
(253, 215)
(332, 112)
(47, 54)
(135, 139)
(341, 216)
(334, 115)
(136, 106)
(159, 143)
(270, 193)
(259, 189)
(97, 49)
(60, 57)
(322, 171)
(127, 225)
(4, 158)
(319, 141)
(288, 95)
(310, 252)
(199, 192)
(245, 13)
(165, 258)
(353, 110)
(217, 182)
(301, 161)
(103, 33)
(141, 58)
(187, 30)
(362, 100)
(220, 142)
(295, 214)
(174, 257)
(252, 240)
(15, 229)
(42, 168)
(93, 10)
(132, 150)
(120, 62)
(202, 207)
(49, 291)
(83, 34)

